t@C t@F tk rmin@Ohm rtyp@Ohm rmax@Ohm
-40 -40 0.84 340 359 379
-30 -22 0.83 370 391 411
-20 -4 0.82 403 424 446
-10 14 0.80 437 460 483
0 32 0.79 474 498 522
10 50 0.77 514 538 563
20 68 0.75 555 581 607
25 77 0.74 577 603 629
30 86 0.73 599 626 652
40 104 0.71 645 672 700
50 122 0.70 694 722 750
60 140 0.68 744 773 801
70 158 0.66 797 826 855
80 176 0.64 852 882 912
90 194 0.63 910 940 970
100 212 0.61 970 1000 1030
110 230 0.60 1029 1062 1096
120 248 0.58 1089 1127 1164
130 266 0.57 1152 1194 1235
140 284 0.55 1216 1262 1309
150 302 0.54 1282 1334 1385
160 320 0.53 1350 1407 1463
170 338 0.52 1420 1482 1544
180 356 0.51 1492 1560 1628
190 374 0.49 1566 1640 1714
200 392 0.48 1641 1722 1803
210 410 0.47 1719 1807 1894
220 428 0.46 1798 1893 1988
230 446 0.45 1879 1982 2085
240 464 0.44 1962 2073 2184
250 482 0.44 2046 2166 2286
260 500 0.42 2132 2261 2390
270 518 0.41 2219 2357 2496
280 536 0.38 2304 2452 2600
290 554 0.34 2384 2542 2700
300 572 0.29 2456 2624 2791
