t@C t@F tk rmin@Ohm rtyp@Ohm rmax@Ohm
-55 -67 0.97 485 500 515
-50 -58 0.96 510 525 540
-40 -40 0.93 562 577 592
-30 -22 0.91 617 632 647
-20 -4 0.88 677 691 706
-10 14 0.85 740 754 768
0 32 0.83 807 820 833
10 50 0.80 877 889 902
20 68 0.78 951 962 973
25 77 0.76 990 1000 1010
30 86 0.75 1027 1039 1050
40 104 0.73 1105 1118 1132
50 122 0.71 1185 1202 1219
60 140 0.69 1268 1288 1309
70 158 0.67 1355 1379 1402
80 176 0.65 1445 1472 1500
90 194 0.63 1537 1569 1601
100 212 0.61 1633 1670 1707
110 230 0.60 1732 1774 1816
120 248 0.58 1834 1882 1929
125 257 0.57 1886 1937 1987
130 266 0.57 1939 1993 2046
140 284 0.55 2047 2107 2167
150 302 0.54 2158 2225 2292
160 320 0.52 2272 2346 2420
170 338 0.51 2389 2471 2553
175 347 0.51 2449 2535 2621
